Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
1997-08-01,4398.6806640625,4468.8200144043885,4168.043113168006,4190.712780878945,0,,,,,,,,,,,,,,
1997-09-01,3916.916015625,4538.868998644646,3661.3588242207925,4375.790750154125,0,,,,,,,,,,,,,,
1997-10-01,4523.26953125,4755.206893809589,3853.8570523851163,3963.5760472940506,0,,,,,,,,,,,,,,
1997-11-01,4268.4423828125,4724.7370721881625,4131.723700659595,4540.189336381233,0,,,,,,,,,,,,,,
1997-12-01,4184.79296875,4323.921781424219,4073.0544742694046,4250.092530280667,0,4258.4203125,,,,,,,,,,,,,
1998-01-01,4165.23291015625,4336.271024377624,3841.696756268992,4199.4625054095,0,4211.73076171875,,,,,,,-46.689550781250546,,,,,,
1998-02-01,4081.64404296875,4297.121600373877,4005.7349844632517,4265.302133967757,0,4244.6763671875,,,,,,,32.94560546874982,,,,,,
1998-03-01,4063.24462890625,4116.703992390662,3817.077458155218,4054.0147515890967,0,4152.67138671875,,,,,,,-92.00498046874964,,,,,,
1998-04-01,4180.9033203125,4317.801687793929,4040.8248127045727,4060.804569166449,0,4135.16357421875,,,,,,,-17.5078125,,,,,,
1998-05-01,4185.02294921875,4273.2919800790005,4094.7541848974497,4199.272789611198,0,4135.2095703125,4196.81494140625,,,,,,0.0459960937496362,,,,,,
1998-06-01,3737.09814453125,4223.462584280779,3735.6482095569568,4197.093249952879,0,4049.5826171875,4130.656689453125,,,,,,-85.62695312499955,-66.15825195312482,,,,,
1998-07-01,3743.968017578125,3868.066723348521,3549.9601837961873,3820.6971374563,0,3982.047412109375,4113.361889648438,,,,,,-67.53520507812527,-17.2947998046875,,,,,
1998-08-01,3255.463623046875,3743.728186649508,2978.5568051285286,3741.058294608212,0,3820.4912109375,3986.581298828125,,,,,,-161.55620117187482,-126.78059082031268,,,,,
1998-09-01,3283.333251953125,3437.4814235226777,3168.0044687386007,3244.1034678153915,0,3640.977197265625,3888.0703857421877,,,,,,-179.5140136718751,-98.51091308593732,,,,,
1998-10-01,3112.505126953125,3285.813241597674,3057.915651377553,3284.2932391158715,0,3426.4736328125,3780.8416015625,,,,,,-214.5035644531249,-107.22878417968786,,,,,
1998-11-01,3201.26416015625,3421.731659246494,3081.0755661580233,3119.9349937947345,0,3319.3068359375,3684.4447265625,,,,,,-107.16679687499982,-96.39687499999991,,,,,
1998-12-01,2949.286865234375,3222.1436566889197,2902.3972563996913,3209.1237837356357,0,3160.37060546875,3571.2090087890624,,,,,,-158.93623046875018,-113.2357177734375,,,,,
1999-01-01,2920.357177734375,2987.2265458282554,2823.5982518954575,2945.206997014418,0,3093.34931640625,3456.920263671875,,,,,,-67.02128906249982,-114.28874511718732,,,,,
1999-02-01,2755.269287109375,2942.2972282978562,2698.129788335235,2917.9073638843047,0,2987.7365234375,3314.3568603515623,,,,,,-105.61279296875,-142.56340332031277,,,,,
1999-03-01,2872.11767578125,2949.256946959718,2744.129121640937,2760.5190744564147,0,2939.659033203125,3183.0663330078123,3689.940637207031,,,,,-48.07749023437509,-131.29052734375,,,,,
1999-04-01,2793.4287109375,2987.376492421583,2739.5894694854173,2870.887805342523,0,2858.091943359375,3088.6993896484373,3609.6780395507812,,,,,-81.56708984375018,-94.366943359375,-80.26259765624991,,,,
1999-05-01,3270.3134765625,3352.522516920063,2521.051847291256,2793.17868281718,0,2922.297265625,3041.333935546875,3577.3479125976564,,,,,64.205322265625,-47.365454101562136,-32.33012695312482,,,,
1999-06-01,4702.71728515625,4895.98513745975,3239.393606387191,3277.523305769245,0,3278.769287109375,3186.0593017578126,3586.3203002929686,,,,,356.4720214843751,144.7253662109374,8.972387695312136,,,,
1999-07-01,4045.304931640625,4669.7178819163155,3628.5095363522587,4669.7178819163155,0,3536.776416015625,3262.2564697265625,3575.163427734375,,,,,258.0071289062498,76.19716796874991,-11.156872558593477,,,,
1999-08-01,4154.15380859375,4225.282897154237,3861.106787889427,4075.0943886642126,0,3793.183642578125,3366.421337890625,3573.6314697265625,,,,,256.4072265625,104.16486816406268,-1.531958007812591,,,,
